ideal_mdot [kg/s],ideal_is_choked [-],ideal_tank.mass [kg],ideal_tank.volume [m^3],ideal_tank.inenergy [J],ideal_tank.pressure [Pa],ideal_tank.temperature [degK],ideal_tank.density [kg/m^3],ideal_tank.sp_inenergy [J/kg],ideal_tank.sp_enthalpy [J/kg],atmospheric.pressure [Pa],time [s]
0.024248750022349667,1.0,0.020033727820341032,0.0037854117839999993,2458.6677394395124,422151.23090574436,38.06716070434959,5.292350994684027,122726.422235962,202492.71727757578,101325.0,1.408
0.024209025913613624,1.0,0.02000951879442742,0.0037854117839999993,2453.7655879996214,421285.1397320958,38.03584148584389,5.285955646622837,122629.91495242686,202328.86967242195,101325.0,1.409
0.02416938467619057,1.0,0.01998534940975123,0.0037854117839999993,2448.87542371741,420421.2161497631,38.00456214529525,5.279570770668693,122533.53061330803,202165.23447936185,101325.0,1.41
0.02412982609841768,1.0,0.019961219583652812,0.0037854117839999993,2443.997211766277,419559.45371784683,37.97332261265652,5.273196344985229,122437.26900172883,202001.81131520536,101325.0,1.411
0.02409034996927593,1.0,0.019937129233683536,0.0037854117839999993,2439.130917437266,418699.84601771797,37.94212281803965,5.266832347791819,122341.12990130916,201838.59979766206,101325.0,1.412
0.024050956078387926,1.0,0.019913078277605148,0.0037854117839999993,2434.276506138609,417842.3866529293,37.91096269171523,5.260478757363416,122245.11309616404,201675.59954533938,101325.0,1.413
0.02401164421601553,1.0,0.019889066633389133,0.0037854117839999993,2429.4339433952746,416987.06924912834,37.87984216411209,5.254135552030378,122149.21837090224,201512.81017773913,101325.0,1.414
0.023972414173057646,1.0,0.019865094219216076,0.0037854117839999993,2424.603194848517,416133.88745396875,37.848761165816796,5.247802710178301,122053.4455106248,201350.2313152554,101325.0,1.415
0.02393326574104796,1.0,0.019841160953475028,0.0037854117839999993,2419.7842262554277,415282.83493702416,37.817719627573226,5.241480210247856,121957.79430092375,201187.86257917187,101325.0,1.416
0.023894198712152637,1.0,0.019817266754762874,0.0037854117839999993,2414.9770034884878,414433.90538970125,37.78671748028212,5.235168030734613,121862.26452788063,201025.7035916592,101325.0,1.417
0.023855212879168135,1.0,0.019793411541883705,0.0037854117839999993,2410.181492535124,413587.09252515365,37.755754655000686,5.228866150188883,121766.85597806508,200863.7539757722,101325.0,1.418
0.02381630803551901,1.0,0.019769595233848185,0.0037854117839999993,2405.3976594972664,412742.39007819607,37.7248310829421,5.222574547215545,121671.56843853356,200702.01335544777,101325.0,1.419
0.023777483975255566,1.0,0.01974581774987293,0.0037854117839999993,2400.625470590906,411899.7918052192,37.693946695475155,5.216293200473889,121576.4016968279,200540.4813555018,101325.0,1.42
0.023738740493051826,1.0,0.01972207900937988,0.0037854117839999993,2395.864892145656,411059.2914841033,37.663101424123674,5.210022088677442,121481.35554097393,200379.15760162706,101325.0,1.421
0.02370007738420318,1.0,0.019698378931995674,0.0037854117839999993,2391.115890604316,410220.882914135,37.632295200566254,5.20376119059381,121386.42975948013,200218.04172039032,101325.0,1.422
0.023661494444624235,1.0,0.01967471743755105,0.0037854117839999993,2386.3784325224356,409384.55991592223,37.60152795663571,5.197510485044512,121291.62414133623,200057.13333922985,101325.0,1.423
