conservation_mdot [kg/s],conservation_tank.mass [kg],conservation_tank.volume [m^3],conservation_tank.inenergy [J],conservation_tank.pressure [Pa],conservation_tank.temperature [degK],conservation_tank.density [kg/m^3],conservation_tank.sp_inenergy [J/kg],conservation_tank.sp_enthalpy [J/kg],time [s]
-0.232944148337188,0.30038172926882367,0.0037854117839999993,26985.985467855546,2808027.6597414375,147.16552675934577,79.35245791183486,89838.97101046616,125225.74709320975,1.3
-0.23064123960001623,0.2980753168728235,0.0037854117839999993,26697.163252461385,2776260.707833202,146.65688824378861,78.74316821559923,89565.15934478388,124822.32222946467,1.31
-0.2283684242030595,0.29579163263079294,0.0037854117839999993,26412.10848213229,2744954.809485927,146.1516304796422,78.13988266244405,89292.95344571116,124421.68305161342,1.32
-0.2261251764645623,0.2935303808661473,0.0037854117839999993,26130.759731771654,2714101.245587189,145.6497132556425,77.54252314287912,89022.33443320313,124023.79086745165,1.33
-0.2239109826497316,0.29129127103964997,0.0037854117839999993,25853.056842920894,2683691.5082719405,145.15109709786813,76.95101290455803,88753.28378584277,123628.60780010249,1.34
-0.2217253406338153,0.2890740176333118,0.0037854117839999993,25578.940891155275,2653717.2946136524,144.65574325183772,76.36527652160758,88485.78333180385,123236.09676598331,1.35
-0.21956775957648672,0.2868783400375469,0.0037854117839999993,25308.354154496694,2624170.500539006,144.1636136651413,75.78523986481757,88219.81524009207,122846.22145349043,1.36
-0.21743775960709794,0.28470396244147594,0.0037854117839999993,25041.24008280625,2595043.214956989,143.67467097058648,75.21083007266192,87955.36201205403,122458.94630237356,1.37
-0.21533487152038414,0.2825506137262721,0.0037854117839999993,24777.54326812082,2566327.714093671,143.18887846984177,74.64197552312373,87692.40647314493,122074.23648377528,1.3800000000000001
-0.21325863648221452,0.28041802736144994,0.0037854117839999993,24517.209415899444,2538016.4560243795,142.70620011755932,74.07860580629766,87430.93176494513,121692.05788090955,1.3900000000000001
-0.21120860574500855,0.2783059413039999,0.0037854117839999993,24260.185317146766,2510102.0753953205,142.22660050596124,73.52065169774406,87170.921337417,121312.37707035552,1.4000000000000001
-0.20918434037245204,0.27621409790027535,0.0037854117839999993,24006.418821382,2482577.378327087,141.7500448498728,72.96804513257028,86912.35894139374,120935.16130394407,1.41
-0.20718541097315712,0.27414224379054375,0.0037854117839999993,23755.858810423375,2455435.3374928273,141.2764989721879,72.42071918021583,86655.22862129142,120560.37849121446,1.42
-0.2052113974429369,0.27209012981611436,0.0037854117839999993,23508.45517295906,2428669.0873641535,140.8059292897514,71.87860801991798,86399.51470803696,120187.99718242147,1.43
-0.2032618887153656,0.2700575109289607,0.0037854117839999993,23264.1587798769,2402271.919618213,140.3383027996449,71.34164691683665,86145.20181220435,119817.98655207103,1.44
-0.201336482520321,0.2680441461037575,0.0037854117839999993,23022.921460326288,2376237.2786996164,139.87358706586207,70.80977219881702,85892.27481735162,119450.31638296643,1.45
-0.1994347851502128,0.26604979825225533,0.0037854117839999993,22784.69597848667,2350558.7575311796,139.41175020636032,70.28292123376963,85640.71887355216,119084.9570507465,1.46
-0.19755641123361237,0.2640742341399192,0.0037854117839999993,22549.436011018126,2325230.093367747,138.95276088047635,69.7610324076487,85390.51939111315,118721.87950889728,1.47
-0.1957009835160151,0.26211722430475903,0.0037854117839999993,22317.096125170516,2300245.1637875764,138.4965882766942,69.24404510300936,85141.66203447517,118361.05527422119,1.48
-0.19386813264747335,0.2601785429782843,0.0037854117839999993,22087.63175752854,2275597.982816016,138.04320210075284,68.7318996781261,84894.13271628658,118002.45641274659,1.49
-0.19205749697685298,0.25825796800851575,0.0037854117839999993,21860.999193371015,2251282.6971764336,137.5925725640836,68.22453744665465,84647.91759164687,117646.05552606277,1.5
-0.1902687223524722,0.25635528078499104,0.0037854117839999993,21637.155546623497,2227293.582663582,137.1446703725655,67.7219006578205,84403.00305251328,117291.82573806464,1.51
-0.18850146192889483,0.25447026616570206,0.0037854117839999993,21416.058740384153,2203625.0406347844,136.69946671558907,67.22393247711783,84159.3757222652,116939.74068209363,1.52
-0.18675537597965816,0.2526027124059055,0.0037854117839999993,21197.66748800367,2180271.594614507,136.25693325541798,66.73057696750318,83917.02245042124,116589.77448846024,1.53
-0.18503013171572127,0.2507524110887483,0.0037854117839999993,20981.94127470061,2157227.8870081124,135.81704211683964,66.24177907106878,83675.93030750366,116241.90177233538,1.54
-0.1833254031094359,0.24891915705765394,0.0037854117839999993,20768.8403396944,2134488.6759207183,135.3797658770949,65.75748459118074,83436.08658004568,115896.09762199776,1.55
-0.18164087072383858,0.24710274835041554,0.0037854117839999993,20558.325658838854,2112048.8320773016,134.94507755607884,65.27764017506836,83197.47876573661,115552.33758742486,1.56
