isenthalpic_mdot [kg/s],isenthalpic_tank.mass [kg],isenthalpic_tank.volume [m^3],isenthalpic_tank.inenergy [J],isenthalpic_tank.pressure [Pa],isenthalpic_tank.temperature [degK],isenthalpic_tank.density [kg/m^3],isenthalpic_tank.sp_inenergy [J/kg],isenthalpic_tank.sp_enthalpy [J/kg],time [s]
-0.32150905751230124,0.2788445626436168,0.0037854117839999993,50565.905790697114,5627107.237259547,263.3934778918066,73.66294040247455,181340.8348769703,257730.76998582212,1.09
-0.31763405153738317,0.27566822212824293,0.0037854117839999993,50001.09901438239,5560051.4121910175,263.24296269728444,72.8238400095399,181381.4397189441,257730.76998599636,1.1
-0.313811542105642,0.2725301067071865,0.0037854117839999993,49442.773761813085,5493885.915423893,263.0938140964781,71.99483761822266,181421.32757073952,257730.76998616755,1.11
-0.3100406541482215,0.26942970016570433,0.0037854117839999993,48890.85169124668,5428596.296038769,262.9460228644121,71.17579685901468,181460.51330338817,257730.76998633542,1.12
-0.30632053177632423,0.2663664948479411,0.0037854117839999993,48345.25549194806,5364168.413487025,262.79957975079043,70.36658362342678,181499.01142614277,257730.76998650015,1.1300000000000001
-0.3026503377380641,0.2633399914705605,0.0037854117839999993,47805.908869324354,5300588.428828875,262.65447548359793,69.56706601475527,181536.8360968019,257730.76998666165,1.1400000000000001
-0.2990292528939318,0.26034969894162113,0.0037854117839999993,47272.73653026061,5237842.796275345,262.5107007725455,68.77711430023413,181574.00113168824,257730.76998682006,1.1500000000000001
-0.2954564757101395,0.25739513418451976,0.0037854117839999993,46745.66416865736,5175918.255022001,262.3682463123697,67.9966008645256,181610.52001529533,257730.7699869754,1.16
-0.29193122176914493,0.25447582196682833,0.0037854117839999993,46224.61845116942,5114801.821362659,262.22710278598896,67.22540016450384,181646.40590961502,257730.76998712771,1.17
-0.2884527232966783,0.25159129473386155,0.0037854117839999993,45709.527003146286,5054480.78107198,262.0872608675268,66.46338868528804,181681.67166315817,257730.76998727716,1.18
-0.28502022870463867,0.24874109244681517,0.0037854117839999993,45200.31839477296,4994942.68204622,261.9487112252046,65.7104448974831,181716.32981967993,257730.7699874237,1.19
-0.2816330021492379,0.2459247624253228,0.0037854117839999993,44696.92212741103,4936175.327192019,261.8114445241105,64.9664492155876,181750.3926266215,257730.76998756727,1.2
-0.2782903231038128,0.24314185919428466,0.0037854117839999993,44199.26862013872,4878166.767553449,261.6754514288525,64.23128395753012,181783.87204327865,257730.76998770816,1.21
-0.27499148594573825,0.24039194433482727,0.0037854117839999993,43707.289196488644,4820905.295668025,261.5407226060945,63.504833305297105,181816.77974870667,257730.7699878464,1.22
-0.27173579955690835,0.2376745863392582,0.0037854117839999993,43220.91607138236,4764379.439142826,261.4072487269871,62.78698326661579,181849.12714937286,257730.76998798185,1.23
-0.2685225869372685,0.2349893604698855,0.0037854117839999993,42740.08233825992,4708577.9544421965,261.27502046949354,62.07762163765842,181880.9253865652,257730.76998811463,1.24
